,iou,detect
TCGA_HT_8105_19980826_18.tif,17.50871080139373,Detect
TCGA_HT_8105_19980826_19.tif,15.75270695075096,Detect
TCGA_HT_8105_19980826_2.tif,100,All_TN
TCGA_HT_8105_19980826_20.tif,14.921253450235428,Detect
TCGA_HT_8105_19980826_21.tif,13.007268322228951,Detect
TCGA_HT_8105_19980826_22.tif,26.65851421583614,Detect
TCGA_HT_8105_19980826_23.tif,23.083197389885807,Detect
TCGA_HT_8105_19980826_24.tif,24.548604778405984,Detect
TCGA_HT_8105_19980826_25.tif,32.656514382402705,Detect
TCGA_HT_8105_19980826_26.tif,43.47462353597323,Detect
TCGA_HT_8105_19980826_27.tif,64.26735218508998,Detect
TCGA_HT_8105_19980826_28.tif,54.05892964521948,Detect
TCGA_HT_8105_19980826_29.tif,0.0,No_detect
TCGA_HT_8105_19980826_3.tif,100,All_TN
TCGA_HT_8105_19980826_30.tif,0.0,No_detect
TCGA_HT_8105_19980826_31.tif,100,All_TN
TCGA_HT_8105_19980826_32.tif,100,All_TN
TCGA_HT_8105_19980826_4.tif,100,All_TN
TCGA_HT_8105_19980826_5.tif,100,All_TN
TCGA_HT_8105_19980826_6.tif,100,All_TN
TCGA_HT_8105_19980826_7.tif,100,All_TN
TCGA_HT_8105_19980826_8.tif,100,All_TN
TCGA_HT_8105_19980826_9.tif,100,All_TN
TCGA_HT_8106_19970727_1.tif,0.0,Mis_detect
TCGA_HT_8106_19970727_10.tif,21.463926803659817,Detect
TCGA_HT_8106_19970727_11.tif,37.6351538674799,Detect
TCGA_HT_8106_19970727_12.tif,36.03698501872659,Detect
TCGA_HT_8106_19970727_13.tif,28.508261577845005,Detect
TCGA_HT_8106_19970727_14.tif,26.87521022536159,Detect
TCGA_HT_8106_19970727_15.tif,53.16791134666345,Detect
TCGA_HT_8106_19970727_16.tif,34.52724029092905,Detect
TCGA_HT_8106_19970727_17.tif,39.84607311527025,Detect
TCGA_HT_8106_19970727_18.tif,19.590382902938558,Detect
TCGA_HT_8106_19970727_19.tif,38.90977443609023,Detect
TCGA_HT_8106_19970727_2.tif,0.0,Mis_detect
TCGA_HT_8106_19970727_20.tif,3.293413173652695,Detect
TCGA_HT_8106_19970727_21.tif,100,All_TN
TCGA_HT_8106_19970727_22.tif,100,All_TN
TCGA_HT_8106_19970727_3.tif,0.0,Mis_detect
TCGA_HT_8106_19970727_4.tif,0.0,Mis_detect
TCGA_HT_8106_19970727_5.tif,100,All_TN
TCGA_HT_8106_19970727_6.tif,100,All_TN
TCGA_HT_8106_19970727_7.tif,0.0,Mis_detect
TCGA_HT_8106_19970727_8.tif,38.59154929577465,Detect
TCGA_HT_8106_19970727_9.tif,21.40033879164314,Detect
TCGA_HT_8107_19980708_1.tif,100,All_TN
TCGA_HT_8107_19980708_10.tif,73.32968236582694,Detect
TCGA_HT_8107_19980708_11.tif,54.77351916376306,Detect
TCGA_HT_8107_19980708_12.tif,32.94170808856756,Detect
TCGA_HT_8107_19980708_13.tif,33.756166314305844,Detect
TCGA_HT_8107_19980708_14.tif,48.9010989010989,Detect
TCGA_HT_8107_19980708_15.tif,100,All_TN
TCGA_HT_8107_19980708_16.tif,100,All_TN
TCGA_HT_8107_19980708_17.tif,0.0,Mis_detect
TCGA_HT_8107_19980708_18.tif,100,All_TN
TCGA_HT_8107_19980708_19.tif,100,All_TN
TCGA_HT_8107_19980708_2.tif,0.0,Mis_detect
TCGA_HT_8107_19980708_20.tif,100,All_TN
TCGA_HT_8107_19980708_3.tif,0.0,Mis_detect
TCGA_HT_8107_19980708_4.tif,100,All_TN
TCGA_HT_8107_19980708_5.tif,100,All_TN
TCGA_HT_8107_19980708_6.tif,100,All_TN
TCGA_HT_8107_19980708_7.tif,100,All_TN
TCGA_HT_8107_19980708_8.tif,0.0,No_detect
TCGA_HT_8107_19980708_9.tif,65.63088512241055,Detect
TCGA_HT_8111_19980330_1.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_10.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_11.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_12.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_13.tif,100,All_TN
TCGA_HT_8111_19980330_14.tif,59.92578849721707,Detect
TCGA_HT_8111_19980330_15.tif,65.98326359832636,Detect
TCGA_HT_8111_19980330_16.tif,66.99768288646143,Detect
TCGA_HT_8111_19980330_17.tif,71.60940325497288,Detect
TCGA_HT_8111_19980330_18.tif,57.96733212341197,Detect
TCGA_HT_8111_19980330_19.tif,48.51282051282052,Detect
TCGA_HT_8111_19980330_2.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_20.tif,41.00418410041841,Detect
TCGA_HT_8111_19980330_21.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_22.tif,100,All_TN
TCGA_HT_8111_19980330_3.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_4.tif,100,All_TN
TCGA_HT_8111_19980330_5.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_6.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_7.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_8.tif,0.0,Mis_detect
TCGA_HT_8111_19980330_9.tif,0.0,Mis_detect
TCGA_HT_8113_19930809_1.tif,0.0,Mis_detect
